Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures
1999,Scotland,Windham,P,125,1442,2255,1.6,743,0.52,94,0.1,3210,2.2,30,211,8363,5.8,12177,8270
1999,Seymour,New Haven,P,121,14244,52847,3.7,7983,0.56,3041,0.2,73118,5.1,51,2203,49789,3.5,401851,205990
1999,Sharon - Hotchkiss,Litchfield,P,19,2947,8500,2.9,2183,0.74,,,34044,11.6,40,400,23634,8,136299,55829
1999,Shelton - Plumb,Fairfield,P,60,37873,169272,4.5,15265,0.4,25900,0.7,241907,6.4,117,3986,147330,3.9,761817,511775
1999,Sherman,Fairfield,P,17,3017,33574,11.1,1923,0.64,860,0.3,43443,14.4,191,2311,23983,7.9,114265,52828
1999,Simsbury,Hartford,P,35,21767,270313,12.4,14137,0.65,42870,2,410953,18.9,695,20826,135552,6.2,1004881,635188
1999,Somers,Tolland,P,113,9463,73600,7.8,3914,0.41,6910,0.7,83473,8.8,146,2250,43539,4.6,291088,162220
1999,South Windsor,Hartford,P,61,22711,177912,7.8,11237,0.49,15670,0.7,209294,9.2,284,4674,104119,4.6,918198,462203
1999,"South Windsor, Wood",Hartford,N,61,,6000,0.3,530,0.02,,,2977,0.1,41,1556,14768,0.7,95643,36095
1999,Southbury,New Haven,P,45,16568,178412,10.8,9137,0.55,21840,1.3,192329,11.6,332,7522,80698,4.9,499269,276603
1999,Southington,Hartford,P,88,38683,289130,7.5,19315,0.5,113871,2.9,276371,7.1,200,8900,153543,4,889678,591771
1999,Sprague,New London,P,151,2876,8093,2.8,2208,0.77,426,0.1,10176,3.5,1,54,15186,5.3,17500,7419
1999,Stafford,Tolland,P,141,11523,32825,2.8,6453,0.56,1102,0.1,45555,4,84,1720,41812,3.6,262762,104436
1999,Stamford - Ferguson,Fairfield,P,27,110689,581449,5.3,57292,0.52,178255,1.6,800334,7.2,631,34461,436327,3.9,5997089,3274393
1999,Sterling,Windham,P,138,2814,9100,3.2,1693,0.6,1861,0.7,30692,10.9,22,470,16634,5.9,48352,20559
1999,Stonington,New London,P,51,16523,23817,1.4,4966,0.3,468,0,54161,3.3,329,5051,33270,2,193320,94544
1999,Stratford,Fairfield,P,91,48857,191007,3.9,26421,0.54,50682,1,267677,5.5,889,42149,147801,3,2101026,1205348
1999,Suffield - Kent,Hartford,P,58,11299,111624,9.9,5622,0.5,7000,0.6,140020,12.4,198,4536,78152,6.9,409718,211785
1999,Thomaston,Litchfield,P,117,7306,65000,8.9,3717,0.51,5000,0.7,93320,12.8,250,6500,52298,7.2,277305,154984
1999,Thompson,Windham,P,154,8994,48067,5.3,6446,0.72,6262,0.7,68159,7.6,179,2460,42511,4.7,229708,142235
1999,Tolland,Tolland,P,100,12396,83743,6.8,6771,0.55,25354,2,128779,10.4,194,3015,51090,4.1,263329,189359
1999,Torrington,Litchfield,P,139,34451,30992,0.9,10420,0.3,,,91775,2.7,101,1539,53911,1.6,346571,182284
1999,Trumbull,Fairfield,P,33,33515,234023,7,25083,0.75,24532,0.7,318566,9.5,323,8391,159827,4.8,969089,676451
1999,Union,Tolland,P,111,683,3740,5.5,248,0.36,,,4276,6.3,2,,12069,17.7,25215,9931
1999,Vernon - Rockville,Tolland,P,132,29269,82766,2.8,9182,0.31,7377,0.3,119288,4.1,157,4584,51010,1.7,665564,292610
1999,Voluntown,New London,P,145,2208,2080,0.9,1167,0.53,,,2624,1.2,,,8553,3.9,11488,6080
1999,Wallingford,New Haven,P,94,40998,250744,6.1,34316,0.84,72830,1.8,474231,11.6,434,17452,200351,4.9,1690550,943361
1999,Warren,Litchfield,P,21,1307,4915,3.8,500,0.38,115,0.1,5790,4.4,69,69,12775,9.8,26204,12070
1999,Washington - Gunn,Litchfield,P,16,4040,31044,7.7,1781,0.44,5800,1.4,44963,11.1,167,2160,34105,8.4,277540,118632
1999,Waterbury - Silas Bron.,New Haven,P,162,105346,272420,2.6,46169,0.44,70131,0.7,199348,1.9,507,24923,402739,3.8,2220652,1503966
1999,Waterford,New London,P,7,17917,,,12609,0.7,15167,0.8,232378,13,499,8808,112525,6.3,1108348,713620
1999,Watertown,Litchfield,P,104,21689,70175,3.2,12247,0.56,42273,1.9,147389,6.8,98,4178,63247,2.9,639947,297300
1999,West Hartford,Hartford,P,47,55951,524071,9.4,28539,0.51,161169,2.9,854049,15.3,1585,32772,305455,5.5,2897050,1766740
1999,West Haven,New Haven,P,158,51639,142480,2.8,29795,0.58,13193,0.3,224963,4.4,139,8237,153289,3,1151985,641599
1999,Westbrook,Middlesex,P,34,5617,39000,6.9,3500,0.62,4483,0.8,65001,11.6,99,1420,39712,7.1,248417,147785
1999,Weston,Fairfield,P,5,8846,,,,,,,99744,11.3,1479,2800,55524,6.3,373074,170060
1999,Westport,Fairfield,P,4,24221,419220,17.3,14220,0.59,94702,3.9,578379,23.9,659,22117,197809,8.2,2797395,1617325
1999,Wethersfield,Hartford,P,69,25095,203000,8.1,11074,0.44,15025,0.6,187212,7.5,120,2785,139699,5.6,844752,542317
1999,Willington,Tolland,P,142,6131,15700,2.6,3324,0.54,4545,0.7,15500,2.5,10,1355,15776,2.6,88826,37500
1999,Wilton,Fairfield,P,6,16637,216141,13,,,28000,1.7,244005,14.7,327,6152,123636,7.4,1435573,703847
1999,Winchester - Beardsley,Litchfield,P,140,16290,34000,2.1,6868,0.42,5254,0.3,59858,3.7,163,,45454,2.8,238130,110292
1999,Windham - Guilford Sm,Windham,N,165,,5148,0.2,907,0.04,84,0,8244,0.4,48,568,9988,0.5,62766,16797
1999,Windham - Willimantic,Windham,P,165,23184,135000,5.8,15099,0.65,1100,0,79053,3.4,48,1659,60880,2.6,445030,274447
1999,Windham Free,Windham,N,165,,15600,0.7,578,0.03,113,0,10601,0.5,4,78,8721,0.4,32832,17644
1999,Windsor,Hartford,P,77,27475,255100,9.3,14620,0.53,27941,1,296545,10.8,645,12307,126903,4.6,1036128,601168
1999,Windsor Locks,Hartford,P,64,11944,,,4475,0.37,,,42786,3.6,70,1324,56461,4.7,295511,109223
1999,Wolcott,New Haven,P,119,14681,,,4960,0.34,,,90402,6.2,212,2064,55500,3.8,284981,143427
1999,Woodbridge,New Haven,P,15,8265,,,8701,1.05,6707,0.8,124126,15,249,4441,62793,7.6,509383,303263
1999,Woodbury,Litchfield,P,44,8718,,,8162,0.94,16167,1.9,112312,12.9,390,7144,70467,8.1,419003,218760
1999,Woodstock - Bracken,Windham,P,99,6580,3400,0.5,2572,0.39,,,15244,2.3,38,1100,19177,2.9,18254,6711
1999,"Woodstock, East",Windham,N,99,,2600,0.4,205,0.03,50,0,7357,1.1,35,17,7502,1.1,12958,3863
2000,Andover,Tolland,P,108,2850,9500,3.3,1263,0.44,590,0.2,18259,6.4,61,1058,15790,5.5,77840,43549
2000,Ansonia,New Haven,P,159,17716,98560,5.6,10412,0.59,13847,0.8,85279,4.8,254,6782,72751,4.1,498805,286929
2000,Ashford-Babcock,Windham,P,134,3941,13719,3.5,1847,0.47,395,0.1,28050,7.1,72,1466,25738,6.5,127400,73958
2000,Avon,Hartford,P,17,14093,167096,11.9,8845,0.63,27032,1.9,231990,16.5,390,10484,78718,5.6,910268,500692
2000,Beacon Falls,New Haven,P,125,5198,8632,1.7,1529,0.29,920,0.2,10380,2,43,1055,8331,1.6,56988,
2000,Berlin-Peck,Hartford,P,59,17246,59228,3.4,7457,0.43,11185,0.6,230112,13.3,438,8898,84527,4.9,725837,374273
2000,Bethany - Clark,New Haven,P,54,4830,19100,4,3750,0.78,660,0.1,43660,9,45,455,36197,7.5,80901,
2000,Bethel,Fairfield,P,68,17874,163163,9.1,12978,0.73,17290,1,142849,8,190,5164,88746,5,615313,370215
2000,Bethlehem,Litchfield,P,69,3259,18235,5.6,3173,0.97,2531,0.8,33371,10.2,136,1348,24217,7.4,93646,
2000,Bloomfield - Prosser,Hartford,P,62,19004,174472,9.2,9013,0.47,13508,0.7,236035,12.4,637,12598,126893,6.7,1083800,739904
2000,Bolton - Bentley,Tolland,P,87,4753,20761,4.4,2512,0.53,1873,0.4,51775,10.9,100,1403,39268,8.3,160196,105746
2000,Branford - Blackstone,New Haven,P,52,27146,70000,2.6,,,60820,2.2,184121,6.8,597,18463,87789,3.2,847403,485392
2000,Branford - Willoughby,New Haven,N,52,,10000,0.4,4620,0.17,1500,0.1,40500,1.5,39,6650,21000,0.8,213234,85333
2000,Bridgeport,Fairfield,P,169,137425,423097,3.1,52057,0.38,201267,1.5,401752,2.9,899,15279,438390,3.2,3970040,2864202
2000,Bridgewater - Burnham,Litchfield,P,19,1749,16574,9.5,1346,0.77,1339,0.8,23327,13.3,117,5456,29316,16.8,113082,54909
2000,Bristol,Hartford,P,139,59158,274425,4.6,19534,0.33,26113,0.4,347606,5.9,803,16453,144634,2.4,1429993,875733
2000,Brookfield,Fairfield,P,32,14664,95059,6.5,6975,0.48,11113,0.8,121797,8.3,185,5896,60632,4.1,453821,272608
2000,Brooklyn,Windham,P,151,6909,14000,2,3675,0.53,1700,0.2,30130,4.4,16,863,21148,3.1,86541,
2000,Burlington,Hartford,P,67,7892,40000,5.1,5000,0.63,1200,0.2,48592,6.2,100,1273,31516,4,167607,100496
2000,Canaan - David Hunt,Litchfield,P,51,1052,16536,15.7,686,0.65,927,0.9,16357,15.5,129,2446,27064,25.7,98893,
2000,Canterbury,Windham,P,153,4690,6402,1.4,836,0.18,25,0,16867,3.6,4,80,11917,2.5,41824,
2000,Canton,Hartford,P,61,8115,37400,4.6,8010,0.99,4010,0.5,47830,5.9,77,750,48786,6,290510,198989
2000,Chaplin,Windham,P,130,2258,5980,2.6,571,0.25,1036,0.5,5340,2.4,,,13202,5.8,40160,
2000,Cheshire,New Haven,P,56,26471,101000,3.8,23808,0.9,29470,1.1,287260,10.9,188,5917,113278,4.3,1094447,869985
2000,Chester,Middlesex,P,70,3830,21500,5.6,2900,0.76,1248,0.3,32120,8.4,47,903,14961,3.9,66145,
2000,Clinton - Henry C. Hull,Middlesex,P,93,13111,55166,4.2,7497,0.57,3744,0.3,243293,18.6,25,1895,46227,3.5,511901,259126
2000,Colchester - Cragin,New London,P,128,13100,57780,4.4,10290,0.81,5038,0.4,112905,8.6,278,5985,38836,3.1,253490,157999
2000,Columbia - S.B. Little,Tolland,P,79,4841,10038,2.1,3528,0.73,14380,3,41055,8.5,34,770,31029,6.4,187647,87932
2000,Cornwall,Litchfield,P,11,1478,8000,5.4,650,0.44,678,0.5,14276,9.7,14,125,15650,10.6,461357,
2000,"Cornwall, West",Litchfield,N,11,,4327,2.9,,,,,9391,6.4,,,,,35880,
2000,Coventry - Booth Dim,Tolland,P,129,11077,50000,4.5,5388,0.49,2036,0.2,86077,7.8,198,3268,45126,4.1,208507,119389
2000,Cromwell,Middlesex,P,98,12589,62452,5,5591,0.44,4565,0.4,80038,6.4,177,3860,59550,4.7,359730,258148
2000,Danbury,Fairfield,P,76,65829,440914,6.7,34584,0.53,40230,0.6,395452,6,485,14238,112014,1.7,1863229,1224238
2000,Darien,Fairfield,P,3,18085,333632,18.4,16581,0.92,30179,1.7,524827,29,497,13783,158971,8.8,2260082,1054190
2000,Deep River,Middlesex,P,85,4461,28017,6.3,2703,0.61,2200,0.5,30467,6.8,37,544,19509,4.4,84849,
2000,Derby,New Haven,P,140,11942,48000,4,3464,0.29,2236,0.2,36937,3.1,119,3522,40886,3.4,296637,182992
2000,Derby Neck,New Haven,P,140,,7571,0.6,1955,0.16,315,0,11230,0.9,55,1321,48372,4.1,170595,75546
2000,Durham,Middlesex,P,86,6555,82477,12.6,5028,0.77,15756,2.4,104796,16,167,2685,46178,7,305742,177071
2000,East Granby,Hartford,P,42,4438,30000,6.8,3704,0.83,450,0.1,30170,6.8,323,1817,26382,5.9,79373,48648
2000,East Haddam,Middlesex,P,78,7490,16372,2.2,4494,0.6,181,0,18567,2.5,145,2118,20597,2.7,92823,49200
2000,East Haddam - Rathbun,Middlesex,N,78,,29664,4,,,5615,0.7,28507,3.8,,,,,137900,88784
2000,East Hampton,Middlesex,P,106,11052,49870,4.5,8438,0.76,5406,0.5,70568,6.4,259,4221,42600,3.9,252566,147914
2000,East Hampton - Middle,Middlesex,N,106,,3054,0.3,,,,,5462,0.5,,,,,29213,
2000,East Hartford,Hartford,P,137,47369,20426,0.4,15156,0.32,41257,0.9,170016,3.6,317,8703,216067,4.6,903510,588787
2000,East Haven - Hagaman,New Haven,P,146,26740,98649,3.7,19500,0.73,2888,0.1,133720,5,118,2293,59960,2.2,557396,326894
2000,East Lyme,New London,P,77,15824,75000,4.7,,,15705,1,164099,10.4,,,92182,5.8,743097,416965
2000,East Windsor - Broad,Hartford,P,110,,26560,2.6,,,,,48817,4.9,,,,,294862,153476
2000,East Windsor - Warehouse,Hartford,P,110,10026,41432,4.1,3348,0.33,5632,0.6,77398,7.7,207,3833,32892,3.3,292872,
2000,Eastford,Windham,P,121,1450,,,400,0.28,,,,,1,46,11276,7.8,26266,
2000,Easton,Fairfield,P,10,6745,71297,10.6,3925,0.58,11989,1.8,92831,13.8,290,5224,52970,7.9,371992,199271
2000,Ellington - Hall,Tolland,P,114,11741,83383,7.1,5774,0.49,4161,0.4,106607,9.1,159,2980,46183,3.9,383369,207863
2000,Enfield,Hartford,P,131,43075,226597,5.3,18184,0.42,15642,0.4,256662,6,430,6691,153140,3.6,972708,623347
2000,Essex,Middlesex,P,28,6143,38700,6.3,4775,0.78,5475,0.9,42820,7,19,950,25265,4.1,227999,106271
2000,Essex - Ivoryton,Middlesex,N,28,,15037,2.4,2500,0.41,4121,0.7,11483,1.9,20,255,7140,1.2,48212,
2000,Fairfield,Fairfield,P,23,53740,515150,9.6,45584,0.85,62585,1.2,705243,13.1,502,18609,283683,5.3,2942355,1665988
2000,Fairfield - Pequot,Fairfield,N,23,,98492,1.8,1775,0.03,5288,0.1,50878,0.9,193,9152,134024,2.5,1730907,386833
2000,Farmington,Hartford,P,24,21161,204979,9.7,10664,0.5,53712,2.5,348605,16.5,933,23695,165035,7.8,1809909,1065661
2000,Glastonbury - Wells-T.,Hartford,P,39,28832,276600,9.6,15574,0.54,18830,0.7,384730,13.3,99,4946,123004,4.3,1111855,641826
2000,"Glastonbury, East",Hartford,N,39,,11650,0.4,920,0.03,93,0,17200,0.6,236,4800,17167,0.6,25279,
2000,"Glastonbury, South",Hartford,N,39,,4800,0.2,,,,,5400,0.2,,,,,764166,482173
2000,Goshen,Litchfield,P,31,2460,6893,2.8,1568,0.64,97,0,15792,6.4,24,398,33633,13.7,50315,
2000,Granby,Hartford,P,63,9592,72332,7.5,6296,0.66,13872,1.4,130641,13.6,245,4812,60116,6.3,324815,252961
2000,Greenwich,Fairfield,P,1,58332,517504,8.9,45571,0.78,146925,2.5,890329,15.3,,33558,341974,5.9,6611737,4038369
2000,Greenwich - Perrot,Fairfield,N,1,,189584,3.3,,,9964,0.2,203230,3.5,150,3201,59412,1,1028605,684281
2000,Griswold - Slater,New London,P,160,14384,18096,1.3,4473,0.31,2184,0.2,21999,1.5,19,845,20392,1.4,107595,43077
2000,Groton,New London,P,119,41284,267222,6.5,35719,0.87,50856,1.2,343220,8.3,397,10610,126939,3.1,1576090,1074378
2000,Groton - Bill,New London,N,119,41284,15000,0.4,800,0.02,31522,0.8,17340,0.4,,,20000,0.5,13802,63494
2000,Groton - Mystic,New London,N,119,,65000,1.6,7317,0.18,31522,0.8,89073,2.2,64,283,45846,1.1,378190,201586
2000,Guilford,New Haven,P,40,20239,181290,9,17100,0.84,43000,2.1,256798,12.7,455,10420,127462,6.3,954510,608208
2000,Haddam - Brainerd,Middlesex,P,37,7210,35396,4.9,4735,0.66,2034,0.3,31106,4.3,141,2120,26410,3.7,179574,100737
2000,Hamden,New Haven,P,124,53011,338433,6.4,42083,0.79,6703,0.1,440373,8.3,281,6389,173377,3.3,1543523,1168371
2000,Hampton - Fletcher,Windham,P,123,1636,2520,1.5,962,0.59,72,0,3859,2.4,2,,32835,20.1,17681,
2000,Hartford,Hartford,P,168,125000,578485,4.6,48292,0.37,345943,2.8,539660,4.3,2411,61965,482327,3.7,6057835,4402410
2000,Hartland,Hartford,P,99,1970,500,0.3,,,25,0,1176,0.6,,,4274,2.2,5601,
2000,Harwinton,Litchfield,P,81,5405,23140,4.3,3029,0.56,1051,0.2,43004,8,114,2050,28142,5.2,113258,72898
2000,Hebron - Douglas,Tolland,P,101,8163,66591,8.2,5072,0.63,3710,0.5,99753,12.2,147,4214,31518,3.9,330926,142353
2000,Kent,Litchfield,P,36,3067,40000,13,2225,0.73,900,0.3,24653,8,160,2500,22732,7.4,130435,55000
2000,Killingly,Windham,P,157,16057,122291,7.6,5972,0.37,3200,0.2,128880,8,152,3677,51718,3.2,509567,272302
2000,Killingworth,Middlesex,P,74,5694,35469,6.2,3033,0.53,2511,0.4,57488,10.1,73,726,27033,4.7,217290,75494
2000,Lebanon - JonTrumbull,New London,P,126,6271,58000,9.2,4800,0.77,2700,0.4,49502,7.9,98,2700,43690,7,119216,58256
2000,Ledyard,New London,P,122,14462,92215,6.4,7751,0.54,8706,0.6,150449,10.4,399,7984,87775,6.1,473554,295724
2000,Litchfield - OWL,Litchfield,P,,8747,32937,3.8,3271,0.37,3137,0.4,69601,8,,2552,46513,5.3,554072,203281
2000,"Litchfield, Gilbert",Litchfield,N,58,8747,3580,0.4,311,0.04,,,2444,0.3,4,100,8860,1,29600,
2000,Lyme,New London,P,18,1969,12804,6.5,973,0.49,953,0.5,17980,9.1,48,633,24750,12.6,115819,57258
2000,Madison - E.C.Scranton,New Haven,P,25,16340,69043,4.2,9358,0.58,16224,1,194448,11.9,374,7276,90607,5.6,876166,384084
2000,Manchester,Hartford,P,112,51657,388861,7.5,23799,0.46,41918,0.8,772584,15,572,14228,195558,3.8,2014657,1138018
2000,Mansfield,Tolland,P,164,19061,113615,6,5447,0.29,4279,0.2,228540,12,244,6180,62190,3.3,465157,325892
2000,Marlborough-Richmond,Hartford,P,82,5754,51737,9,3316,0.58,2496,0.4,127126,22.1,52,4243,30386,5.3,266960,134353
2000,Meriden,New Haven,P,156,56365,293000,5.2,44423,0.78,79628,1.4,512413,9.1,386,35502,222903,3.9,1618438,1240926
2000,Middlebury,New Haven,P,30,6069,50000,8.2,5169,0.85,6950,1.1,83632,13.8,337,5678,48417,8,249800,139685
2000,Middlefield - Levi Coe,Middlesex,P,90,4107,23000,5.6,2644,0.64,1531,0.4,25927,6.3,226,3490,24052,5.9,178691,92330
2000,Middletown - Russell,Middlesex,P,116,43640,271001,6.2,31087,0.71,70502,1.6,505707,11.6,435,16746,190668,4.4,2309183,1575636
2000,Milford,New Haven,P,75,50027,176468,3.5,30812,0.62,38245,0.8,258593,5.2,35,6335,136067,2.7,826468,598622
2000,Monroe - Edith Wheeler,Fairfield,P,53,18566,118157,6.4,10809,0.58,11112,0.6,148430,8,196,4685,77398,4.2,472095,285006
2000,Montville - Raymond,New London,P,127,16618,12948,0.8,7946,0.48,2374,0.1,29771,1.8,6,195,23683,1.4,64737,43576
2000,Morris,Litchfield,P,60,2099,15000,7.1,1050,0.5,414,0.2,21251,10.1,53,757,15400,7.3,70439,48952
2000,Naugatuck - Howard W.,New Haven,P,149,30231,185453,6.1,10985,0.36,14472,0.5,83036,2.7,189,2631,63707,2.1,718936,369746
2000,New Britain,Hartford,P,167,70492,227394,3.2,22990,0.33,74842,1.1,309200,4.4,1605,38718,271383,3.8,2429039,1473651
2000,New Canaan,Fairfield,P,2,18067,343000,19,17756,0.98,44963,2.5,322468,17.8,760,19726,157676,8.7,1610698,902135
2000,New Fairfield,Fairfield,P,43,13517,89076,6.6,13610,1.01,11620,0.9,140179,10.4,158,3476,51477,3.8,356808,253933
2000,New Hartford-Bakerville,Litchfield,N,84,,1920,0.3,930,0.15,164,0,19065,3.1,40,650,10177,1.7,32535,
2000,New Hartford-Licia M.B.,Litchfield,P,84,6123,53000,8.7,4047,0.66,4107,0.7,72870,11.9,185,3000,29147,4.8,394361,173057
2000,New Haven,New Haven,P,166,123189,395579,3.2,6974,0.06,23932,0.2,200209,1.6,840,26229,632573,5.1,3924542,2783056
2000,New London,New London,P,163,23869,265728,11.1,24574,1.03,29780,1.2,142393,6,381,7189,85563,3.6,634572,271660
2000,New Milford,Litchfield,P,66,25512,331188,13,11792,0.46,16358,0.6,237061,9.3,554,12590,88954,3.5,935235,518068
2000,Newington - LucyWelles,Hartford,P,91,28346,296628,10.5,13816,0.49,41037,1.4,415757,14.7,663,20617,115951,4.1,1339357,918124
2000,Newtown - Cyr.Booth,Fairfield,P,45,23469,104500,4.5,20407,0.87,43107,1.8,74928,3.2,428,10699,73556,3.1,803878,381117
2000,Norfolk,Litchfield,P,47,2026,22427,11.1,1291,0.64,288,0.1,28364,14,144,,28501,14.1,220849,96247
2000,North Branford,New Haven,P,103,13967,50300,3.6,8372,0.6,4393,0.3,119878,8.6,192,,64030,4.6,440832,263912
2000,North Canaan - Douglas,Litchfield,P,132,3431,12324,3.6,,,550,0.2,16222,4.7,3,492,19133,5.6,59788,
2000,North Haven,New Haven,P,38,22148,28080,1.3,19400,0.88,3870,0.2,99647,4.5,148,4815,101159,4.6,653276,477807
2000,North Stonington-Wheeler,New London,P,95,4882,63200,12.9,3655,0.75,3734,0.8,42821,8.8,162,4777,38877,8,94812,48555
2000,Norwalk,Fairfield,P,41,78064,436800,5.6,,,59399,0.8,398275,5.1,250,6994,283446,3.6,2674018,1860881
2000,"Norwalk, Rowayton",Fairfield,N,41,,4913,0.1,4533,0.06,79661,1,25861,0.3,64,3787,29911,0.4,120577,80598
2000,Norwich - Otis,New London,P,158,37227,117000,3.1,18049,0.48,19992,0.5,188885,5.1,80,2317,99143,2.7,950996,589272
2000,Old Lyme - Phoebe,New London,P,20,6629,79500,12,5838,0.91,2704,0.4,77210,11.6,332,4314,39402,6.1,462781,217253
2000,Old Saybrook - Acton,Middlesex,P,26,10000,130830,13.1,4959,0.51,3704,0.4,159495,15.9,127,7216,59470,6.1,876643,230172
2000,Orange - Case,New Haven,P,27,12426,50565,4.1,10959,0.88,9267,0.7,175020,14.1,57,1785,75793,6.1,477571,245740
2000,Oxford,New Haven,P,83,9279,15000,1.6,3200,0.34,1200,0.1,28020,3,37,430,25835,2.8,180119,110137
2000,Plainfield - Aldrich,Windham,P,161,14593,11516,0.8,4277,0.29,3105,0.2,20821,1.4,106,1567,28072,1.9,61231,
2000,Plainville,Hartford,P,115,16770,83737,5,6923,0.41,8524,0.5,153239,9.1,332,13005,95257,5.7,477572,308076
2000,Plymouth - Terryville,Litchfield,P,144,12040,50660,4.2,4025,0.33,4983,0.4,59520,4.9,299,3897,51540,4.3,328594,180948
2000,"Plymouth, Library Assn.",Litchfield,N,144,,3842,0.3,,,111,0,2190,0.2,,,,,20618,
2000,Pomfret - Abington,Windham,N,102,,4784,1.4,,,450,0.1,13590,3.9,,,,,41343,
2000,Pomfret,Windham,P,102,3442,11934,3.5,1893,0.55,1879,0.5,23729,6.9,44,460,25355,7.4,79965,
2000,Portland,Middlesex,P,97,8796,104324,11.9,4656,0.53,3725,0.4,165199,18.8,161,3363,77608,8.8,574660,366899
2000,Preston,New London,P,135,5024,12005,2.4,2193,0.44,1208,0.2,27272,5.4,92,1000,21268,4.2,122165,66589
2000,Prospect,New Haven,P,113,8270,28500,3.4,6135,0.74,6900,0.8,62473,7.6,15,394,35227,4.3,222951,126978
2000,Putnam,Windham,P,152,8879,23824,2.7,6812,0.77,7301,0.8,54278,6.1,18,316,40652,4.6,345599,159349
2000,Redding - Mark Twain,Fairfield,P,8,8167,43116,5.3,4199,0.51,1087,0.1,58299,7.1,164,2692,35815,4.4,382758,162875
2000,Ridgefield,Fairfield,P,9,22163,312494,14.1,16000,0.72,12500,0.6,310206,14,555,14917,109335,4.9,1375123,695100
2000,Rocky Hill-Cora Belden,Hartford,P,49,16742,161566,9.7,7880,0.47,19429,1.2,229191,13.7,220,7993,68871,4.1,762487,512138
2000,Roxbury - Minor,Litchfield,P,16,2008,19840,9.9,3100,1.54,2720,1.4,20701,10.3,370,,53465,26.6,126169,49927
2000,Salem,New London,P,105,3499,15184,4.3,2936,0.84,1040,0.3,29552,8.4,29,72,16297,4.7,21754,
2000,Salisbury - Scoville,Litchfield,P,15,4073,45000,11,3051,0.75,3200,0.8,55296,13.6,164,3473,33861,8.3,295645,156169
2000,Scotland,Windham,P,136,1442,2151,1.5,743,0.52,111,0.1,2839,2,30,211,8363,5.8,12080,
2000,Seymour,New Haven,P,120,14244,53005,3.7,7983,0.56,3131,0.2,75076,5.3,51,2203,49789,3.5,421531,211923
2000,Sharon - Hotchkiss,Litchfield,P,21,2947,9672,3.3,2183,0.74,600,0.2,21734,7.4,40,400,23634,8,118176,63611
2000,Shelton - Plumb,Fairfield,P,64,37873,170241,4.5,15265,0.4,26031,0.7,246977,6.5,117,3986,147330,3.9,791235,531937
2000,Sherman,Fairfield,P,13,3017,35196,11.7,1923,0.64,986,0.3,45125,15,191,2311,23983,7.9,140652,69656
2000,Simsbury,Hartford,P,33,21767,266172,12.2,14137,0.65,40457,1.9,422076,19.4,695,20826,135552,6.2,1004927,680199
2000,Somers,Tolland,P,117,9463,70000,7.4,3914,0.41,6985,0.7,85292,9,146,2250,43539,4.6,311959,159488
2000,South Windsor,Hartford,P,65,22711,174448,7.7,11237,0.49,15880,0.7,211135,9.3,284,4674,104119,4.6,980002,491043
2000,"South Windsor, Wood",Hartford,N,65,,6000,0.3,530,0.02,65,0,2538,0.1,41,1556,14768,0.7,96373,
2000,Southbury,New Haven,P,44,16568,183404,11.1,9137,0.55,21944,1.3,206236,12.4,332,7522,80698,4.9,512479,296968
2000,Southington,Hartford,P,89,38683,281276,7.3,19315,0.5,64442,1.7,253088,6.5,200,8900,153543,4,971237,608462
2000,Sprague,New London,P,150,2876,6708,2.3,2208,0.77,1327,0.5,9176,3.2,1,54,15186,5.3,18406,
2000,Stafford,Tolland,P,143,11523,28884,2.5,6453,0.56,910,0.1,47297,4.1,84,1720,41812,3.6,253104,127495
2000,Stamford - Ferguson,Fairfield,P,29,110689,650463,5.9,57292,0.52,197264,1.8,798690,7.2,631,34461,436327,3.9,6320362,3607599
2000,Sterling,Windham,P,148,2814,7192,2.6,1693,0.6,2148,0.8,25283,9,22,470,16634,5.9,49914,
2000,Stonington,New London,P,48,16523,26104,1.6,4966,0.3,936,0.1,57086,3.5,329,5051,33270,2,197949,98647
2000,Stratford,Fairfield,P,92,48857,186391,3.8,26421,0.54,59486,1.2,284332,5.8,889,42149,147801,3,2312310,1177068
2000,Suffield - Kent,Hartford,P,55,11299,125040,11.1,5622,0.5,8736,0.8,140185,12.4,198,4536,78152,6.9,418537,211812
2000,Thomaston,Litchfield,P,111,7306,65000,8.9,3717,0.51,5000,0.7,94752,13,250,6500,52298,7.2,297004,172197
2000,Thompson,Windham,P,154,9014,49345,5.5,6446,0.72,7353,0.8,71496,7.9,179,2460,42511,4.7,244406,153225
2000,Tolland,Tolland,P,100,12396,84349,6.8,6771,0.55,25243,2,134969,10.9,194,3015,51090,4.1,275050,198037
2000,Torrington,Litchfield,P,138,34451,36400,1.1,10420,0.3,26304,0.8,126088,3.7,101,1539,53911,1.6,443502,181480
2000,Trumbull,Fairfield,P,35,33515,226473,6.8,25083,0.75,26034,0.8,320640,9.6,323,8391,159827,4.8,1060023,747287
2000,Union,Tolland,P,88,683,4056,5.9,248,0.36,29,0,4592,6.7,2,,12069,17.7,28119,
