Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures
1997,Harwinton,Litchfield,P,77,5339,20000,3.7,2470,0.46,895,0.2,39860,7.5,107,1903,24986,4.7,83903,57671
1997,Hebron - Douglas,Tolland,P,106,7776,27913,3.6,3632,0.47,4500,0.6,46610,6,142,1735,19334,2.5,154932,91636
1997,Kent,Litchfield,P,37,3152,33350,10.6,1980,0.63,920,0.3,29708,9.4,144,2240,22004,7,92467,47207
1997,Killingly,Windham,P,152,16120,119286,7.4,6781,0.42,6245,0.4,133521,8.3,94,1799,49644,3.1,453866,237571
1997,Killingworth,Middlesex,P,80,5211,23241,4.5,2389,0.46,1078,0.2,31860,6.1,82,1064,19209,3.7,117974,35188
1997,Lebanon - JonTrumbull,New London,P,126,6326,54000,8.5,2800,0.44,17555,2.8,54372,8.6,51,1685,43092,6.8,100279,47075
1997,Ledyard,New London,P,127,14844,100764,6.8,6007,0.4,7213,0.5,166312,11.2,420,8231,86004,5.8,430758,247085
1997,Litchfield - OWL,Litchfield,P,64,8646,37544,4.3,4169,0.48,2269,0.3,70420,8.1,,1934,47356,5.5,330500,154002
1997,"Litchfield, Gilbert",Litchfield,N,64,,3586,0.4,211,0.02,30,0,7735,0.9,6,,8688,1,22473,6834
1997,Lyme,New London,P,9,2000,12220,6.1,960,0.48,912,0.5,13488,6.7,48,462,26325,13.2,80943,45899
1997,Madison - E.C.Scranton,New Haven,P,27,16347,,,10643,0.65,,,186884,11.4,318,6386,79142,4.8,690272,305091
1997,Manchester,Hartford,P,118,49430,410000,8.3,24623,0.5,41482,0.8,668957,13.5,488,16520,202123,4.1,1681491,902149
1997,Mansfield,Tolland,P,169,18274,91899,5,9000,0.49,7292,0.4,175215,9.6,240,4790,61986,3.4,359121,276995
1997,Marlborough-Richmond,Hartford,P,95,5714,50597,8.9,4071,0.71,2537,0.4,101202,17.7,53,4452,28377,5,194854,102012
1997,Meriden,New Haven,P,153,58854,270000,4.6,41500,0.71,78000,1.3,407464,6.9,514,42834,216318,3.7,1345986,925907
1997,Middlebury,New Haven,P,32,6164,47000,7.6,4810,0.78,6950,1.1,79606,12.9,269,4142,48363,7.8,207957,115538
1997,Middlefield - Levi Coe,Middlesex,P,84,4068,25116,6.2,2383,0.59,1552,0.4,39360,9.7,197,3116,24096,5.9,149207,87306
1997,Middletown - Russell,Middlesex,P,100,43802,317575,7.3,27929,0.64,61447,1.4,553757,12.6,440,15425,179823,4.1,1995390,1465224
