,Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures,Population Bin
174,1996,Windsor,Hartford,P,57.0,27960.0,238114.0,8.5,16767.0,0.6,33510.0,1.2,303288.0,10.0,462.0,12445.0,107890.0,3.9,1003019.0,556446.0,"(15438.6, 30245.2]"
175,1996,Windsor Locks,Hartford,P,66.0,11912.0,108243.81620957839,5.409180655736961,4602.0,0.39,20040.20407729879,0.7465547060014956,44238.0,3.4,115.0,1841.0,50615.0,4.2,283171.0,138775.0,"(483.934, 15438.6]"
176,1996,Wolcott,New Haven,P,121.0,14293.0,43212.0,3.0,4375.0,0.31,20040.20407729879,0.7465547060014956,66740.0,4.2,164.0,2045.0,46132.0,3.2,251650.0,132958.0,"(483.934, 15438.6]"
177,1996,Woodbridge,New Haven,P,15.0,8091.0,108243.81620957839,5.409180655736961,10149.0,1.25,7793.0,1.0,170773.0,14.0,168.0,3338.0,61653.0,7.6,459095.0,290099.0,"(483.934, 15438.6]"
178,1996,Woodbury,Litchfield,P,46.0,8611.0,108243.81620957839,5.409180655736961,5905.0,0.69,12768.0,1.5,113053.0,10.8,286.0,6838.0,59997.0,7.0,272496.0,159621.0,"(483.934, 15438.6]"
179,1996,Woodstock - Bracken,Windham,P,100.0,6303.0,3200.0,0.5,2146.0,0.34,6114.0,1.0,14680.0,2.3,40.0,1100.0,16570.0,2.6,12409.0,5960.0,"(483.934, 15438.6]"
180,1996,"Woodstock, East",Windham,N,100.0,21222.776174062903,2600.0,0.4,200.0,0.03,500.0,0.1,6981.0,1.1,412.53696576868543,9126.116605616606,11407.0,1.8,11050.0,3700.0,"(15438.6, 30245.2]"
181,1997,Andover,Tolland,P,109.0,2782.0,15000.0,5.4,1676.0,0.6,414.0,0.1,17369.0,6.2,68.0,841.0,15534.0,5.6,61580.0,33442.0,"(483.934, 15438.6]"
182,1997,Ashford-Babcock,Windham,P,135.0,4041.0,12575.0,3.1,1384.0,0.34,448.0,0.1,32794.0,8.1,22.0,1253.0,24096.0,6.0,113989.0,63816.0,"(483.934, 15438.6]"
183,1997,Avon,Hartford,P,18.0,14265.0,166663.0,11.7,8911.0,0.62,18386.0,1.3,224958.0,15.8,258.0,9199.0,74915.0,5.3,720122.0,372057.0,"(483.934, 15438.6]"
